Headline,Label
"Stock prices soar as company posts record profits",1
"Market crashes amid economic uncertainty",0
"Company's new product line boosts revenue",1
"Investors worry as inflation rises",0
"Tech stocks hit new highs after major acquisitions",1
"Oil prices drop due to reduced global demand",0
"Positive earnings report drives stock up",1
"Economy shows signs of slowdown",0
"Company announces layoffs, stock plummets",0
"New partnership expected to increase growth",1
"Revenue forecast falls short of expectations",0
"Interest rates cut to stimulate economy",1
"Unemployment rates continue to rise",0
"Retail sales exceed expectations in strong quarter",1
"Political tensions impact international trade",0
"Strong dollar impacts company earnings overseas",0
"CEO optimistic about future company growth",1
"Supply chain issues lead to stock shortages",0
"Government stimulus boosts consumer spending",1
"Energy sector sees significant drop in profits",0
"Tech company leads market with innovative product",1
"Rising interest rates slow down housing market",0
"Strong earnings report drives tech stocks higher",1
"Consumer confidence declines amid market volatility",0
"Healthcare sector shows consistent growth",1
"New regulations increase operational costs",0
"Company faces lawsuit, shares decline",0
"Company expands into international markets",1
"Falling commodity prices benefit manufacturing sector",1
"Job growth slows amid inflation concerns",0
"Retail giant reports record holiday sales",1
"Company recalls product due to safety issues",0
"High demand pushes company stock to new highs",1
"Federal Reserve hints at possible interest rate hikes",0
"Real estate market remains strong despite challenges",1
"Declining oil prices impact energy sector",0
"Tech industry sees strong quarterly earnings",1
"Rising production costs hurt profit margins",0
"Company's stock rebounds after positive news",1
"Government shutdown creates uncertainty in markets",0
"Company announces new CEO, stock rises",1
"Consumer debt levels reach all-time highs",0
"Pharmaceutical company reports breakthrough in research",1
"Negative earnings report pushes stock down",0
"New contract boosts company's revenue projections",1
"Slowing demand affects retail sector profits",0
"Company hits milestone in renewable energy initiative",1
"Increase in online sales boosts e-commerce stocks",1
"Manufacturing slowdown impacts industrial sector",0
"Telecom company posts better-than-expected earnings",1
"Global market uncertainty leads to mixed results",0
"Auto industry shows signs of recovery",1
"Inflation concerns affect consumer spending habits",0
"Retail chain expands with new store openings",1
"Natural disasters disrupt supply chains",0
"Strong quarterly earnings drive market gains",1
"Political unrest causes market instability",0
"Investment in technology boosts company growth",1
"Rising raw material costs impact production",0
"Company's dividend increase attracts new investors",1
"Global demand slowdown affects exports",0
"Tech company's acquisition drives stock up",1
"Labor shortages lead to production delays",0
"Renewable energy sector sees significant growth",1
"Negative earnings surprise impacts stock",0
"Company benefits from tax incentives",1
"Rising inflation affects consumer goods prices",0
"Healthcare company expands its market reach",1
"Foreign trade issues impact agricultural sector",0
"Company's new service sees high adoption rates",1
"Geopolitical tensions affect commodity prices",0
"Positive clinical trial results boost biotech stock",1
"Reduced government spending impacts defense sector",0
"Tech company reports strong quarterly sales",1
"Climate policy changes affect energy sector",0
"Bank reports increase in mortgage applications",1
"Decreasing demand affects mining industry",0
"Positive forecast lifts company stock",1
"Supply chain recovery helps manufacturing growth",1
"High debt levels impact company's financial health",0
"Tech innovation gives company a competitive edge",1
"Trade war fears create uncertainty in global markets",0
"Record quarterly sales drive company profits up",1
"Rising costs affect construction sector",0
"Company launches new product, receives positive feedback",1
"Interest rate hikes slow down economic growth",0
"Healthcare company receives approval for new drug",1
"Currency fluctuations impact international profits",0
"Company exceeds earnings expectations",1
"Political debates impact investor confidence",0
"Renewable energy adoption boosts sector growth",1
"Rising labor costs reduce profit margins",0
"New technology adoption drives productivity",1
"Environmental regulations impact energy costs",0
"Automaker posts record quarterly profits",1
"Increased tariffs affect manufacturing costs",0
"Bank reports high customer satisfaction",1
"Market fears drive demand for safe-haven assets",0
"Consumer goods company hits new market share high",1
"Uncertain economic outlook impacts spending",0
"This french city elected best city of France",1
"The economy is booming, but inflation is on voters’ minds as election nears - The Washington Post",1
"Starbucks needs you to rein in highly customized drink orders—'We have some cleanup to do,' CEO Brian Niccol says - Fortune",1
"Nasdaq 100 futures rise as investors parse latest tech earnings, await jobs data: Live updates - CNBC",1
"iPhone sales are booming — with or without Apple Intelligence - The Verge",1
"Stock Market Today: Nasdaq Plunges 2.8%, Leads Broad Declines After Flurry Of Earnings (Live Coverage) - Investor's Business Daily",0
"Stocks making the biggest moves after hours: Amazon, Apple, Intel and more - CNBC",1
"Amazon Stock Climbs in After-Hours on Quarterly Earnings - Barron's",1
"Intel shares jump 9% on earnings beat, uplifting guidance - CNBC",1
"Man charged in unprovoked beating of passenger on United flight - CNN",0
"Starbucks is getting rid of the upcharge for non-dairy milk options - San Francisco Chronicle",1
"Stock market suffers a Halloween selloff as tech investors get the chills - MarketWatch",0
"IV fluid factory damaged by Hurricane Helene partly recovered as hospital shortages persist - New York Post ",0
"Comcast Earnings Beat. Company Exploring Cable Programming Business Spin-Off - Investor's Business Daily",1
"Trump's net worth slumps by as much as $2.4 billion amid DJT stock plunge - CBS News",0
"PCE index, the Fed's preferred inflation measure, drops to 2.1%. Here's what it means for interest rates. - CBS News",0
"Ford won’t be making any new F-150 Lightnings until next year - The Verge",0
"Estée Lauder Stock Is Dropping on Disappointing Guidance and Cut Dividend - Barron's",0
"Over 500 Amazon workers decry “non-data-driven” logic for 5-day RTO policy - Ars Technica",0
"Meta, Microsoft stocks tumble as Big Tech's AI splurge prompts investor caution - Yahoo Finance",1
"Apple or Amazon: Jefferies Picks the Superior Tech Stock to Buy Ahead of Earnings - TipRanks",1
"Walking pneumonia cases are rising among kids. Here’s what to know. - The Washington Post",0
"‘Game of Thrones’ Movie in Early Development at Warner Bros. - Hollywood Reporter",1
"Chicago Board of Education President Rev. Mitchell Johnson resigns over antisemitic social media posts, Mayor Brandon Johnson says - ABC7 Chicago",1
"Israel has damaged or destroyed nearly a quarter of buildings in Lebanon’s south - The Washington Post",0
"NFL odds, lines, picks, spreads, bets, predictions for Week 9, 2024: Model targeting Bears, Seahawks - CBS Sports",1
"Kamala Harris says Trump’s comment on women ‘is offensive to everybody’ - The Associated Press",0
"Rapper Young Thug accepts plea deal in Georgia RICO case - ABC News",1
"NASA reconnects with interstellar Voyager 1 spacecraft using technology not used in decades - Fox News",1
"About 8,000 North Korean troops at Ukraine's border are expected in combat in days, US says - The Associated Press",0
"Hezbollah rocket attacks kill seven in northern Israel - BBC.com",1
"Spain hit by deadliest floods in decades. Here’s what we know - CNN",0
"AMD Responds to Intel: Ryzen 7 9800X3D Price, Specs, & Major Changes - Gamers Nexus",1
"Ozempic reduces knee osteoarthritis pain by almost half: ‘That’s huge’ - New York Post ",1
"3 areas being tracked in Atlantic as hurricane season enters final month Friday - Fox Weather ",1
